"BehaviorSpace results (NetLogo 3D 6.1.0)"
"CLL-update-fusionReversible-forSeedExperiment_test_deleting_some_parameters_as_theyre_probably_dependent.nlogo3d"
"NinaExploInAbsenceOfMonocytes"
"06/12/2020 19:53:09:603 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-72","72","-72","72"
"[run number]","gui-apoptosisDuration","[step]","getViability","getRemainingCellRatio"
"4","30","216","99.87190435525193","93.67999999999999"
"2","10","216","99.87190435525193","93.67999999999999"
"3","20","216","99.87190435525193","93.67999999999999"
"1","4","216","99.87190435525193","93.67999999999999"
"5","40","216","99.87190435525193","93.67999999999999"
"6","50","216","99.87190435525193","93.67999999999999"
