"BehaviorSpace results (NetLogo 3D 6.1.0)"
"MacrophageDifferentiationModel.nlogo3d"
"NinaExploInAbsenceOfMonocytes"
"07/23/2020 13:58:51:885 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-72","72","-72","72"
"[run number]","gui-death_rate","[step]","getViability","getRemainingCellRatio","getSeed"
"4","1.001","45","94","100","140"
"1","1.001","48","94","100","40"
"3","1.001","48","94","100","90"
"2","1.001","48","94","100","38"
"4","1.001","46","94","100","140"
"1","1.001","49","94","100","40"
"3","1.001","49","94","100","90"
"2","1.001","49","94","100","38"
"4","1.001","47","94","100","140"
"1","1.001","50","94","100","40"
"3","1.001","50","94","100","90"
"2","1.001","50","94","100","38"
"4","1.001","48","94","100","140"
"1","1.001","51","94","100","40"
"2","1.001","51","94","100","38"
"3","1.001","51","94","100","90"
"4","1.001","49","94","100","140"
"1","1.001","52","94","100","40"
"3","1.001","52","94","100","90"
"2","1.001","52","94","100","38"
"1","1.001","53","94","100","40"
"4","1.001","50","94","100","140"
"2","1.001","53","94","100","38"
"3","1.001","53","94","100","90"
"4","1.001","51","94","100","140"
"1","1.001","54","94","100","40"
"2","1.001","54","94","100","38"
"3","1.001","54","94","100","90"
"4","1.001","52","94","100","140"
"1","1.001","55","94","100","40"
"2","1.001","55","94","100","38"
"3","1.001","55","94","100","90"
"1","1.001","56","94","100","40"
"4","1.001","53","94","100","140"
"2","1.001","56","94","100","38"
"3","1.001","56","94","100","90"
"1","1.001","57","94","100","40"
"4","1.001","54","94","100","140"
"2","1.001","57","94","100","38"
"3","1.001","57","94","100","90"
"1","1.001","58","94","100","40"
"4","1.001","55","94","100","140"
"2","1.001","58","94","100","38"
"3","1.001","58","94","100","90"
"1","1.001","59","94","100","40"
"2","1.001","59","94","100","38"
"4","1.001","56","94","100","140"
"3","1.001","59","94","100","90"
"1","1.001","60","94","100","40"
"2","1.001","60","94","100","38"
"3","1.001","60","94","100","90"
"4","1.001","57","94","100","140"
"1","1.001","61","94","100","40"
"2","1.001","61","94","100","38"
"3","1.001","61","94","100","90"
"4","1.001","58","94","100","140"
"1","1.001","62","94","100","40"
"2","1.001","62","94","100","38"
"3","1.001","62","94","100","90"
"4","1.001","59","94","100","140"
"1","1.001","63","94","100","40"
"2","1.001","63","94","100","38"
"4","1.001","60","94","100","140"
"3","1.001","63","94","100","90"
"1","1.001","64","94","100","40"
"2","1.001","64","94","100","38"
"3","1.001","64","94","100","90"
"4","1.001","61","94","100","140"
"1","1.001","65","94","100","40"
"2","1.001","65","94","100","38"
"3","1.001","65","94","100","90"
"4","1.001","62","94","100","140"
"1","1.001","66","94","100","40"
"2","1.001","66","94","100","38"
"3","1.001","66","94","100","90"
"4","1.001","63","94","100","140"
"1","1.001","67","94","100","40"
"2","1.001","67","94","100","38"
"3","1.001","67","94","100","90"
"4","1.001","64","94","100","140"
"1","1.001","68","94","100","40"
"2","1.001","68","94","100","38"
"3","1.001","68","94","100","90"
"4","1.001","65","94","100","140"
"1","1.001","69","94","100","40"
"2","1.001","69","94","100","38"
"3","1.001","69","94","100","90"
"4","1.001","66","94","100","140"
"1","1.001","70","94","100","40"
"2","1.001","70","94","100","38"
"3","1.001","70","94","100","90"
"4","1.001","67","94","100","140"
"1","1.001","71","94","100","40"
"2","1.001","71","94","100","38"
"3","1.001","71","94","100","90"
"4","1.001","68","94","100","140"
"1","1.001","72","94","100","40"
"2","1.001","72","94","100","38"
"3","1.001","72","94","100","90"
"4","1.001","69","94","100","140"
"1","1.001","73","94","100","40"
"2","1.001","73","94","100","38"
"3","1.001","73","94","100","90"
"1","1.001","74","94","100","40"
"4","1.001","70","94","100","140"
"2","1.001","74","94","100","38"
"3","1.001","74","94","100","90"
"1","1.001","75","94","100","40"
"4","1.001","71","94","100","140"
"2","1.001","75","94","100","38"
"3","1.001","75","94","100","90"
"1","1.001","76","94","100","40"
"4","1.001","72","94","100","140"
"3","1.001","76","94","100","90"
"2","1.001","76","94","100","38"
"1","1.001","77","94","100","40"
"4","1.001","73","94","100","140"
"3","1.001","77","94","100","90"
"2","1.001","77","94","100","38"
"1","1.001","78","94","100","40"
"4","1.001","74","94","100","140"
"3","1.001","78","94","100","90"
"2","1.001","78","94","100","38"
"1","1.001","79","94","100","40"
"4","1.001","75","94","100","140"
"1","1.001","80","94","100","40"
"2","1.001","79","94","100","38"
"3","1.001","79","94","100","90"
"4","1.001","76","94","100","140"
"1","1.001","81","94","100","40"
"3","1.001","80","94","100","90"
"2","1.001","80","94","100","38"
"1","1.001","82","94","100","40"
"4","1.001","77","94","100","140"
"2","1.001","81","94","100","38"
"3","1.001","81","94","100","90"
"1","1.001","83","94","100","40"
"2","1.001","82","94","100","38"
"4","1.001","78","94","100","140"
"3","1.001","82","94","100","90"
"1","1.001","84","94","100","40"
"2","1.001","83","94","100","38"
"4","1.001","79","94","100","140"
"3","1.001","83","94","100","90"
"1","1.001","85","94","100","40"
"2","1.001","84","94","100","38"
"4","1.001","80","94","100","140"
"3","1.001","84","94","100","90"
"1","1.001","86","94","100","40"
