BehaviorSpace results (NetLogo 3D 6.1.0);;;;;;
CLL-update-fusionReversible-forSeedExperiment_test_deleting_some_parameters_as_theyre_probably_dependent-cleaningUpTheCode.nlogo3d;;;;;;
NinaExploInAbsenceOfMonocytes;;;;;;
06/13/2020 15:04:28:883 +0200;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;
-72;72;-72;72;;;
[run number];gui-LateApoThreshold;gui-apoptosisDuration;gui-disintegrationDuration;[step];getViability;getRemainingCellRatio
1;4;1;1;216;58,94736842;3,8
2;4;1;2;216;50;4,48
8;4;2;1;216;50;4,48
3;4;1;3;216;42,10526316;5,32
9;4;2;2;216;42,10526316;5,32
15;4;3;1;216;42,10526316;5,32
4;4;1;4;216;35,22012579;6,36
10;4;2;3;216;35,22012579;6,36
16;4;3;2;216;35,22012579;6,36
22;4;4;1;216;35,22012579;6,36
5;4;1;5;216;31,81818182;7,04
11;4;2;4;216;31,81818182;7,04
17;4;3;3;216;31,81818182;7,04
23;4;4;2;216;31,81818182;7,04
29;4;5;1;216;31,81818182;7,04
12;4;2;5;216;28;8
18;4;3;4;216;28;8
24;4;4;3;216;28;8
30;4;5;2;216;28;8
19;4;3;5;216;25,22522523;8,88
25;4;4;4;216;25,22522523;8,88
31;4;5;3;216;25,22522523;8,88
26;4;4;5;216;23,23651452;9,64
32;4;5;4;216;23,23651452;9,64
33;4;5;5;216;20,97378277;10,68
6;4;1;10;216;19,17808219;11,68
36;4;10;1;216;19,17808219;11,68
13;4;2;10;216;18,06451613;12,4
37;4;10;2;216;18,06451613;12,4
20;4;3;10;216;17,23076923;13
38;4;10;3;216;17,23076923;13
27;4;4;10;216;16,61721068;13,48
39;4;10;4;216;16,61721068;13,48
34;4;5;10;216;15,95441595;14,04
40;4;10;5;216;15,95441595;14,04
7;4;1;15;216;15,05376344;14,88
43;4;15;1;216;15,05376344;14,88
14;4;2;15;216;14,35897436;15,6
44;4;15;2;216;14,35897436;15,6
21;4;3;15;216;13,69193154;16,36
45;4;15;3;216;13,69193154;16,36
28;4;4;15;216;13,23877069;16,92
46;4;15;4;216;13,23877069;16,92
35;4;5;15;216;12,81464531;17,48
41;4;10;10;216;12,81464531;17,48
47;4;15;5;216;12,81464531;17,48
42;4;10;15;216;10,58601134;21,16
48;4;15;10;216;10,58601134;21,16
49;4;15;15;216;8,945686901;25,04
