"BehaviorSpace results (NetLogo 3D 6.1.0)"
"CLL-update-fusionReversible-forSeedExperiment_test_deleting_some_parameters_as_theyre_probably_dependent-cleaningUpTheCode.nlogo3d"
"NinaExploInAbsenceOfMonocytes"
"06/13/2020 15:34:08:877 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-72","72","-72","72"
"[run number]","gui-LateApoThreshold","gui-apoptosisDuration","gui-disintegrationDuration","[step]","getViability","getRemainingCellRatio"
"3","4","28","60","216","3.456790123456784","64.8"
"2","4","28","48","216","3.9520112914608347","56.68"
"1","4","28","36","216","4.709840201850284","47.56"
