BehaviorSpace results (NetLogo 3D 6.1.0);;;;;;
CLL-update-fusionReversible-forSeedExperiment_test_deleting_some_parameters_as_theyre_probably_dependent-cleaningUpTheCode.nlogo3d;;;;;;
NinaExploInAbsenceOfMonocytes;;;;;;
06/13/2020 14:47:21:031 +0200;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;
-72;72;-72;72;;;
[run number];gui-LateApoThreshold;gui-apoptosisDuration;gui-disintegrationDuration;[step];getViability;getRemainingCellRatio
2;1;24;36;216;2,24;100
3;1;36;24;216;2,24;100
1;1;24;24;216;2,24;100
4;1;36;36;216;2,24;100
8;2;36;36;216;2,24;100
6;2;24;36;216;2,536231884;88,32
7;2;36;24;216;2,536231884;88,32
5;2;24;24;216;3,180011357;70,44
12;3;36;36;216;3,180011357;70,44
10;3;24;36;216;3,755868545;59,64
11;3;36;24;216;3,755868545;59,64
16;4;36;36;216;4,172876304;53,68
9;3;24;24;216;4,709840202;47,56
14;4;24;36;216;4,955752212;45,2
15;4;36;24;216;4,955752212;45,2
20;5;36;36;216;5,175600739;43,28
13;4;24;24;216;6,133625411;36,52
18;5;24;36;216;6,133625411;36,52
19;5;36;24;216;6,133625411;36,52
17;5;24;24;216;7,446808511;30,08
24;10;36;36;216;9,210526316;24,32
22;10;24;36;216;10,91617934;20,52
23;10;36;24;216;10,91617934;20,52
21;10;24;24;216;13,14553991;17,04
