BehaviorSpace results (NetLogo 3D 6.1.0);;;;;;
CLL-update-fusionReversible-forSeedExperiment_test_deleting_some_parameters_as_theyre_probably_dependent-cleaningUpTheCode.nlogo3d;;;;;;
NinaExploInAbsenceOfMonocytes;;;;;;
06/13/2020 14:56:06:154 +0200;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;
-72;72;-72;72;;;
[run number];gui-LateApoThreshold;gui-apoptosisDuration;gui-disintegrationDuration;[step];getViability;getRemainingCellRatio
1;4;24;24;216;6,133625411;36,52
2;4;24;36;216;4,955752212;45,2
5;4;36;24;216;4,955752212;45,2
6;4;36;36;216;4,172876304;53,68
3;4;24;72;216;3,180011357;70,44
9;4;72;24;216;3,180011357;70,44
7;4;36;72;216;2,8014007;79,96
10;4;72;36;216;2,8014007;79,96
4;4;24;96;216;2,536231884;88,32
13;4;96;24;216;2,536231884;88,32
8;4;36;96;216;2,323651452;96,4
14;4;96;36;216;2,323651452;96,4
11;4;72;72;216;2,24;100
12;4;72;96;216;2,24;100
15;4;96;72;216;2,24;100
16;4;96;96;216;2,24;100
