"BehaviorSpace results (NetLogo 3D 6.1.0)"
"ABM_Probabilistic.nlogo3d"
"NinaExploInPresenceOfMonocytes"
"07/30/2020 21:08:25:535 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-72","72","-72","72"
"[run number]","gui-BlockedApoptosisThreshold","gui-alpha","gui-NLCThreshold","diffusion-rate","[step]","getViability","getRemainingCellRatio","getSeed"
"2","100","10","1000","5","312","80.76923076923077","17.68","0"
"3","100","10","1000","10","312","76.04395604395604","18.2","0"
"4","100","10","1500","1","312","65.89147286821705","20.64","0"
"1","100","10","1000","1","312","79.47019867549669","18.12","0"
"5","100","10","1500","5","312","64.7279549718574","21.32","0"
"6","100","10","1500","10","312","69.38369781312127","20.119999999999997","0"
"7","100","10","2000","1","312","78.17371937639199","17.96","0"
"8","100","10","2000","5","312","77.3913043478261","18.4","0"
"9","100","10","2000","10","312","79.45823927765237","17.72","0"
"10","100","50","1000","1","312","81.35198135198135","17.16","0"
"11","100","50","1000","5","312","76.62921348314606","17.8","0"
"12","100","50","1000","10","312","78.68131868131869","18.2","0"
"13","100","50","1500","1","312","64.11657559198542","21.959999999999997","0"
"14","100","50","1500","5","312","67.4074074074074","21.6","0"
"15","100","50","1500","10","312","70.4724409448819","20.32","0"
"16","100","50","2000","1","312","77.93522267206478","19.759999999999998","0"
"17","100","50","2000","5","312","81.29032258064515","18.6","0"
"18","100","50","2000","10","312","78.7418655097614","18.44","0"
"19","100","100","1000","1","312","76.9396551724138","18.56","0"
"20","100","100","1000","5","312","77.38359201773835","18.04","0"
"21","100","100","1000","10","312","83.2579185520362","17.68","0"
"22","100","100","1500","1","312","65.93001841620625","21.72","0"
"23","100","100","1500","5","312","66.17375231053605","21.64","0"
"24","100","100","1500","10","312","66.73151750972764","20.560000000000002","0"
"25","100","100","2000","1","312","77.17171717171718","19.8","0"
"26","100","100","2000","5","312","85.90308370044053","18.16","0"
"27","100","100","2000","10","312","74.2798353909465","19.439999999999998","0"
"28","500","10","1000","1","312","83.76344086021506","37.2","0"
"29","500","10","1000","5","312","83.12985571587126","36.04","0"
"30","500","10","1000","10","312","76.5843179377014","37.24","0"
"31","500","10","1500","1","312","90.74074074074073","32.4","0"
"32","500","10","1500","5","312","92.4802110817942","30.320000000000004","0"
"33","500","10","1500","10","312","93.31436699857753","28.12","0"
"34","500","10","2000","1","312","96.36363636363636","26.400000000000002","0"
"35","500","10","2000","5","312","93.6231884057971","27.6","0"
"36","500","10","2000","10","312","85.23206751054852","28.439999999999998","0"
"37","500","50","1000","1","312","93.25396825396825","40.32","0"
"38","500","50","1000","5","312","91.23711340206185","38.800000000000004","0"
"39","500","50","1000","10","312","93.18885448916409","38.76","0"
"40","500","50","1500","1","312","95.25350593311758","37.08","0"
"41","500","50","1500","5","312","95.221027479092","33.48","0"
"42","500","50","1500","10","312","93.85964912280701","31.919999999999998","0"
"43","500","50","2000","1","312","96.40479360852197","30.04","0"
"44","500","50","2000","5","312","97.42547425474255","29.520000000000003","0"
"45","500","50","2000","10","312","90.97222222222223","28.799999999999997","0"
"46","500","100","1000","1","312","92.09257473481196","41.48","0"
"47","500","100","1000","5","312","90.25380710659898","39.4","0"
"48","500","100","1000","10","312","92.1406411582213","38.68","0"
"49","500","100","1500","1","312","96.12403100775194","36.120000000000005","0"
"50","500","100","1500","5","312","96.15819209039547","35.4","0"
"51","500","100","1500","10","312","97.48110831234257","31.759999999999998","0"
"52","500","100","2000","1","312","97.36842105263158","30.4","0"
"53","500","100","2000","5","312","97.35099337748345","30.2","0"
"54","500","100","2000","10","312","91.05263157894737","30.4","0"
"55","1000","10","1000","1","312","83.33333333333334","37.44","0"
"56","1000","10","1000","5","312","83.12985571587126","36.04","0"
"57","1000","10","1000","10","312","76.5843179377014","37.24","0"
"58","1000","10","1500","1","312","87.92270531400966","33.12","0"
"59","1000","10","1500","5","312","92.4802110817942","30.320000000000004","0"
"60","1000","10","1500","10","312","93.31436699857753","28.12","0"
"61","1000","10","2000","1","312","96.36363636363636","26.400000000000002","0"
"62","1000","10","2000","5","312","93.6231884057971","27.6","0"
"63","1000","10","2000","10","312","85.23206751054852","28.439999999999998","0"
"64","1000","50","1000","1","312","91.39579349904398","41.839999999999996","0"
"65","1000","50","1000","5","312","91.66666666666667","38.879999999999995","0"
"66","1000","50","1000","10","312","87.97653958944281","40.92","0"
"67","1000","50","1500","1","312","95.50321199143468","37.36","0"
"68","1000","50","1500","5","312","94.54976303317535","33.76","0"
"69","1000","50","1500","10","312","96.26288659793815","31.04","0"
"70","1000","50","2000","1","312","97.05093833780161","29.84","0"
"71","1000","50","2000","5","312","96.31147540983606","29.28","0"
"72","1000","50","2000","10","312","92.48226950354609","28.199999999999996","0"
"73","1000","100","1000","1","312","95.35545023696682","42.199999999999996","0"
"74","1000","100","1000","5","312","93.70558375634518","39.4","0"
"75","1000","100","1000","10","312","91.98813056379822","40.44","0"
"76","1000","100","1500","1","312","95.90958019375672","37.16","0"
"77","1000","100","1500","5","312","95.36723163841808","35.4","0"
"78","1000","100","1500","10","312","96.22411693057248","32.84","0"
"79","1000","100","2000","1","312","97.98387096774194","29.759999999999998","0"
"80","1000","100","2000","5","312","95.37275064267352","31.119999999999997","0"
"81","1000","100","2000","10","312","88.93387314439946","29.64","0"
